Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;15.618.016
Total nacional;Viviendas con conexión de banda ancha;99,9
Total nacional;Conexión de banda ancha fija;86,1
Total nacional;Conexión de banda ancha móvil;83,9
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.715.060
Andalucía;Viviendas con conexión de banda ancha;99,9
Andalucía;Conexión de banda ancha fija;83,5
Andalucía;Conexión de banda ancha móvil;83,6
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;447.887
Aragón;Viviendas con conexión de banda ancha;99,7
Aragón;Conexión de banda ancha fija;87,8
Aragón;Conexión de banda ancha móvil;88,4
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;357.103
Asturias, Principado de;Viviendas con conexión de banda ancha;99,9
Asturias, Principado de;Conexión de banda ancha fija;80,9
Asturias, Principado de;Conexión de banda ancha móvil;88,9
Balears, Illes;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;393.744
Balears, Illes;Viviendas con conexión de banda ancha;100
Balears, Illes;Conexión de banda ancha fija;91,1
Balears, Illes;Conexión de banda ancha móvil;82,4
Canarias;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;752.870
Canarias;Viviendas con conexión de banda ancha;99,6
Canarias;Conexión de banda ancha fija;90,3
Canarias;Conexión de banda ancha móvil;76,8
Cantabria;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;198.636
Cantabria;Viviendas con conexión de banda ancha;100
Cantabria;Conexión de banda ancha fija;82,8
Cantabria;Conexión de banda ancha móvil;83,7
Castilla y León;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;785.255
Castilla y León;Viviendas con conexión de banda ancha;100
Castilla y León;Conexión de banda ancha fija;79,7
Castilla y León;Conexión de banda ancha móvil;85
Castilla-La Mancha;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;645.913
Castilla-La Mancha;Viviendas con conexión de banda ancha;100
Castilla-La Mancha;Conexión de banda ancha fija;83,8
Castilla-La Mancha;Conexión de banda ancha móvil;83,3
Cataluña;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.552.191
Cataluña;Viviendas con conexión de banda ancha;99,9
Cataluña;Conexión de banda ancha fija;89
Cataluña;Conexión de banda ancha móvil;81,4
Comunitat Valenciana;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.706.624
Comunitat Valenciana;Viviendas con conexión de banda ancha;99,9
Comunitat Valenciana;Conexión de banda ancha fija;86,1
Comunitat Valenciana;Conexión de banda ancha móvil;87,5
Extremadura;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;355.005
Extremadura;Viviendas con conexión de banda ancha;100
Extremadura;Conexión de banda ancha fija;78,7
Extremadura;Conexión de banda ancha móvil;83,6
Galicia;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;883.401
Galicia;Viviendas con conexión de banda ancha;99,6
Galicia;Conexión de banda ancha fija;77,5
Galicia;Conexión de banda ancha móvil;86,8
Madrid, Comunidad de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.237.726
Madrid, Comunidad de;Viviendas con conexión de banda ancha;100
Madrid, Comunidad de;Conexión de banda ancha fija;90,2
Madrid, Comunidad de;Conexión de banda ancha móvil;83,4
Murcia, Región de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;465.181
Murcia, Región de;Viviendas con conexión de banda ancha;100
Murcia, Región de;Conexión de banda ancha fija;88,9
Murcia, Región de;Conexión de banda ancha móvil;85,2
Navarra, Comunidad Foral de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;217.249
Navarra, Comunidad Foral de;Viviendas con conexión de banda ancha;100
Navarra, Comunidad Foral de;Conexión de banda ancha fija;89,1
Navarra, Comunidad Foral de;Conexión de banda ancha móvil;82,3
País Vasco;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;750.332
País Vasco;Viviendas con conexión de banda ancha;100
País Vasco;Conexión de banda ancha fija;87,8
País Vasco;Conexión de banda ancha móvil;84,9
Rioja, La;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;104.980
Rioja, La;Viviendas con conexión de banda ancha;100
Rioja, La;Conexión de banda ancha fija;83,3
Rioja, La;Conexión de banda ancha móvil;86,5
Ceuta;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;21.372
Ceuta;Viviendas con conexión de banda ancha;100
Ceuta;Conexión de banda ancha fija;89,7
Ceuta;Conexión de banda ancha móvil;78,5
Melilla;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;27.489
Melilla;Viviendas con conexión de banda ancha;100
Melilla;Conexión de banda ancha fija;81,5
Melilla;Conexión de banda ancha móvil;86,1
